epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1222.81,1.11125,3.20626,1.39959,0.94921,0.94198,0.98477,0.72521,0.93719,1.8454,1.21671,0.000175132,0.000175132,0.000175132
2,2659.58,0.94885,1.60846,1.2,0.98169,0.97496,0.99102,0.74608,0.89049,1.44614,1.14895,0.000315769,0.000315769,0.000315769
3,4204.72,0.91234,1.18914,1.16419,0.97522,0.97963,0.98563,0.74613,0.87,1.10514,1.13282,0.00042169,0.00042169,0.00042169
4,5590.76,0.88694,0.93095,1.1348,0.99038,0.99197,0.9942,0.7611,0.86741,0.86929,1.11562,0.000369778,0.000369778,0.000369778
5,6941.3,0.85971,0.76598,1.11489,0.99611,0.99669,0.99423,0.77188,0.8417,0.71846,1.08937,0.000317704,0.000317704,0.000317704
6,8790.69,0.83295,0.6667,1.0978,0.99798,0.99348,0.99407,0.77833,0.81832,0.62959,1.07999,0.00026563,0.00026563,0.00026563
7,10208.7,0.81765,0.58904,1.08259,0.9962,0.9981,0.99417,0.78881,0.79451,0.56405,1.06255,0.000213556,0.000213556,0.000213556
8,11418.5,0.78828,0.53565,1.06319,0.9979,0.9959,0.99425,0.79465,0.78704,0.51403,1.05564,0.000161482,0.000161482,0.000161482
9,12623.8,0.77078,0.49712,1.06237,0.9983,0.99758,0.99414,0.80318,0.7595,0.46937,1.03716,0.000109408,0.000109408,0.000109408
10,13845.9,0.75023,0.46381,1.04554,0.99764,0.9981,0.99419,0.80935,0.75005,0.44383,1.02865,5.7334e-05,5.7334e-05,5.7334e-05
